@relation SamplesByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric

@data
118574,11331,3518,188186,17.578932,4948,253871,26200,5218,1650,7921,205846
119714,27657,14180,53693,20.424559,1288,190751,66683,4603,5005,6771,96515
120362,8315,4314,126731,17.428358,5491,173601,30892,17158,135,7992,173452
121507,26132,12889,174342,3.788998,8198,178275,79715,11662,5466,8478,248060
122741,2989,5586,103942,7.518664,3599,178528,99644,12198,8798,4429,67409
123823,3841,4376,15436,21.255406,7007,298805,82679,8131,2967,2202,44883
124974,4897,7228,13339,10.366632,7393,112881,1805,6148,5220,682,247793
125292,8020,8198,12591,14.305422,8661,170175,101546,14063,5401,1340,166360
126263,15978,8995,146760,22.887527,1731,268158,76630,7112,5367,4456,8082
127985,9518,8398,229677,8.103624,6675,278113,85734,11672,8660,5484,299378
128499,14336,1980,59210,12.361962,8078,228153,48110,6569,5512,5322,295673
129463,21422,16124,135950,2.994319,2003,49747,71833,5741,9690,6588,273645
130359,6765,16385,9939,12.533102,9247,277477,57873,16906,2608,1923,193348
131459,29628,10796,187279,14.926243,6227,191724,10742,10929,5549,2257,98165
132909,23413,12205,213566,16.505846,5011,102395,6610,19342,6513,8281,210190
133515,5736,423,133439,7.333074,5636,43244,704,1052,3409,7784,65592
134147,8257,13323,193339,16.338758,573,263165,48165,13162,2124,9773,33853
135083,27561,18269,138653,9.400119,7193,21905,59122,4414,5360,6125,84403
136125,28107,21,226822,10.775395,9153,5111,100796,3523,9459,4947,142193
137916,28902,15800,211838,6.50006,207,289887,88106,18102,5304,4999,275086
138604,20992,16437,222620,14.717484,9517,169112,15024,7715,8203,3090,34629
139764,11596,11918,294258,15.833133,8046,145510,100678,3086,2315,155,131810
140381,19867,1193,91947,20.034913,1747,248364,39050,10621,1088,4032,51784
141692,19254,10114,151522,5.619625,937,91013,3587,3201,3212,8326,52248
142718,2248,1840,127110,10.50665,2663,246273,65014,15848,8752,3015,180239
143538,28375,8612,106139,12.268392,2948,196475,58876,5566,7510,8717,271523
144541,13881,17965,241244,2.605913,1441,46580,25175,5085,399,1799,217476
145332,23662,12459,253069,9.180937,2281,200555,93227,12204,3818,3982,209485
146327,5896,13859,77860,22.298682,4398,238510,61416,19677,2541,2553,41326
147691,22485,17028,212983,16.049782,8786,136202,84057,8648,4381,6562,265727
148841,9177,7861,57039,21.117214,4259,143401,90949,18676,4538,4738,90507
149508,7879,13782,274160,15.995649,6937,126219,23281,5009,5726,348,149092
150152,15185,15597,176345,3.582668,1773,16981,42586,11762,1741,9267,100070
151453,23975,397,26240,16.950519,4017,41978,5789,5392,9573,3332,240578
152584,20102,18009,73774,5.186805,4401,26753,89675,12882,5853,5019,259821
153110,13784,3990,240268,19.939427,2673,66649,9752,4681,8600,2427,232868
154526,15467,9993,66328,21.925227,3123,251283,36930,5849,1967,8175,200063
155753,20887,2926,224747,5.536384,6419,146799,8802,7041,8848,1286,146915
156273,20747,520,137016,3.510456,9025,272394,51564,15216,6900,2176,287205
157099,15315,6711,82621,5.092301,4285,151626,38656,19578,8346,878,68290
158306,144,16514,155385,15.28229,9661,199599,21516,16982,536,9889,15090
159541,26012,18800,80412,6.565286,5461,202229,25890,1195,812,7714,288247
160686,8846,10905,42875,18.812097,2236,261071,62111,2153,6657,9089,191088
161679,17712,14354,58956,10.219535,5959,19637,28689,12064,6137,4799,127698
162481,12465,8093,248592,11.746814,4133,235897,63729,14202,6443,5830,2313
163181,17670,3719,118417,5.834848,8579,206927,54355,6929,220,3102,230537
164388,1017,16823,291328,4.527619,6750,285610,97478,7893,9183,1235,153496
165276,2144,12360,251563,2.501333,2735,50915,31918,4538,2510,4617,9040
166973,16243,10212,95869,11.374087,2838,154620,75784,8743,1855,5955,16380
167405,3909,8414,94468,14.009656,801,271829,31498,4250,5474,9697,26258
168193,16982,9138,243963,2.867092,8258,143902,65541,217,7425,2076,18676
169845,10842,15602,5110,19.859725,1012,10640,85602,8252,2870,3265,25631
170126,25925,5245,35482,22.16962,6786,189176,43112,11432,2165,3848,78931
171334,24223,8838,271567,19.449854,4879,12162,91605,17554,1553,6176,245245
172060,9831,4019,230621,6.690419,6439,107566,73253,2979,2598,3500,7869
173989,4727,1789,282744,17.040949,3516,127004,11240,125,8972,832,272460
174387,17374,8471,148211,16.904637,4548,237815,21239,17109,4160,2338,3023
175073,10912,10398,110839,11.012748,7806,1311,1402,1289,6782,8448,233828
176933,16858,5848,60456,9.604737,45,29959,94810,5487,1682,8551,35753
177389,19934,1889,219998,16.865022,1212,264150,16751,18059,7673,2597,252529
178680,29410,5155,40679,14.500809,8477,210619,43682,18381,7347,2903,174954
179358,22328,19598,54867,7.845746,1938,216011,25576,825,856,6371,101751
180021,19644,277,11904,10.335252,5892,195003,12563,3322,2294,9335,75040
181058,8735,10413,115962,19.357479,9845,186465,34835,1808,4223,3568,148726
182973,262,13228,132331,13.855935,8560,129711,73801,4274,325,2437,19017
183785,5286,18520,51090,2.675645,8530,236418,64525,18990,6740,199,278370
184024,22016,19505,228058,18.634492,2823,162833,7639,17440,8940,9816,99736
185910,22757,10192,295248,8.051612,8127,182179,76431,15323,1440,3814,112728
186527,3776,7433,197585,8.155521,7063,170529,97720,3539,5187,1506,79638
187094,5555,19916,235713,5.315922,4452,34470,11915,9355,9527,999,178651
188796,25144,17840,225963,10.864988,5718,175516,77102,8391,8811,7755,77560
189139,11798,12536,167250,15.012902,9181,36479,96884,9136,8442,3426,150452
190351,39,9470,3636,15.231973,1392,245019,68348,3602,1897,8335,45448
191025,29812,2143,673,20.293699,80,183930,75428,16102,770,5642,237434
192948,26625,18802,65309,13.467041,1807,37339,29844,7469,1522,1373,179023
193925,6648,9768,272168,23.900605,3471,106109,39926,9952,9976,1406,172532
194337,10260,15282,218420,22.426368,3062,84032,91856,6430,4000,4211,239750
195239,13984,5704,79119,22.728057,7602,18555,28339,15991,1402,5767,50499
196899,17598,5526,163037,22.633256,6722,229264,12243,13597,7399,2492,97667
197946,17887,8670,270336,13.554861,7919,295984,64059,6130,9297,4357,105332
198591,6158,2332,128245,3.84782,9889,39694,37894,18565,5939,6150,284903
199806,7733,11164,260944,14.071342,7265,114544,56881,16436,3599,478,292905
200861,747,7894,209367,4.181489,7430,226854,40375,3807,7747,3363,276967
201215,18808,3895,23325,3.61097,6305,8055,80789,3796,1606,2859,169992
202453,27409,11749,28575,23.715435,5864,276044,80055,9822,8869,5626,297114
203755,21852,17283,175848,1.735165,1405,294234,53743,281,2772,9582,66127
204270,21532,10706,113721,19.587896,32,76937,79058,15440,5685,1945,151389
205725,16310,3299,204332,19.225844,796,16742,70890,19957,9386,7223,242019
206712,25616,4618,199474,1.931196,4334,138458,34417,9082,4614,5346,207141
207201,20598,11107,268424,18.482726,9118,101269,82398,3150,4952,9059,147458
208158,25819,6584,32062,8.405067,6275,244181,99916,16356,1139,7258,124111
209421,3213,15767,298361,23.331634,313,62186,74669,15930,4915,6956,1903
210510,25515,9650,85219,14.388767,982,60456,31097,546,3092,5167,170402
211526,15225,11352,6801,3.222489,5111,254759,77751,4898,9486,8882,125222
212965,29226,19704,122145,5.806917,8302,207481,44223,11263,2208,70,281902
213974,29745,5303,72682,15.558201,4970,53434,86113,17762,2852,9707,257269
214437,14217,15008,108562,12.096556,2402,274586,2331,18284,7609,2156,250003
215135,20661,17421,208302,4.621529,1897,29816,94341,17309,4119,7657,254249
216293,27971,6739,81178,2.028673,878,265740,29298,2448,636,4915,274664
217890,18356,15202,180075,9.519419,8916,172800,36096,4365,7701,3458,132074
218320,5986,3248,181156,16.616705,5177,116203,84389,13394,6119,5454,136169
219271,21991,15162,252650,20.873555,2502,73157,100,18483,520,3653,12151
220100,7042,4685,281386,6.32028,7089,179859,30629,11363,2674,7444,86131
221416,4195,6020,37366,6.951663,4040,13469,36502,18911,1040,60,43321
222198,947,1007,244650,22.125001,6990,286719,46974,15629,5134,5220,188586
223408,13379,13675,83205,13.783268,653,158402,9509,15344,1330,9119,260869
224839,8659,6109,297999,6.638237,1482,129121,20536,4758,7172,1147,134231
225775,26414,12302,184739,7.689466,2462,150463,49512,18418,739,554,72832
226995,10538,881,172926,23.496712,9361,14809,50832,7784,6017,7614,93155
227698,23887,652,259728,10.11207,3971,259509,66344,14634,3487,7951,111026
228037,20070,12078,290136,20.230852,9276,234988,96269,10849,6937,3935,120607
229217,12754,18370,262343,1.62002,374,118624,61522,17049,3164,2759,227531
230384,1382,6315,153015,15.59002,7325,292670,16071,13825,9332,4089,177656
231990,3552,9829,20202,14.453436,2982,85127,7097,17969,7906,7591,21539
232810,18528,14303,279104,4.388595,3890,145828,32456,12712,5775,8765,214794
233378,20232,16598,49676,17.251512,2300,290069,81588,13666,48,4724,119787
234331,29313,6144,284159,6.008701,602,172370,30276,15557,6049,3060,206820
235918,17141,121,171159,9.82964,9437,180950,2826,13041,2399,5397,95036
236829,26205,17101,24617,2.834531,2064,231883,56568,13316,3604,253,183568
237464,22523,12949,27255,8.280308,7548,91877,46481,16247,8144,7805,238265
238848,6319,4552,14545,4.275739,4639,160839,67738,4185,8595,8977,23317
239548,12677,13384,159070,6.411477,9778,149464,13565,10941,7320,5586,208554
240218,18497,8245,75403,17.729858,1500,98336,17900,1968,3196,9199,186940
241747,23046,10605,239079,11.131979,8444,288695,53052,11081,8906,1808,215841
242426,27129,12013,162183,22.952863,478,22437,100292,12401,7467,6345,138142
243102,13542,14534,269247,1.855999,111,131048,29405,1381,9956,1047,46016
244905,29948,19955,29749,20.949526,2072,276380,69358,12740,6371,302,218321
245881,6833,2254,258367,21.514491,7124,198288,6035,12493,8392,9396,141029
246660,1132,9255,265466,13.311001,9930,132028,20009,12312,7455,5849,58927
247234,8438,14430,142801,1.343928,1565,158936,55278,3951,597,5091,220994
248897,478,19182,164431,4.692951,5977,151001,17551,1578,4795,4253,11342
249526,14917,4402,34089,23.26525,1167,282619,18453,413,9430,1017,175452
250569,537,14661,217873,14.196667,2204,71159,57594,16751,9233,6622,110650
251390,2042,11502,264113,12.485066,6358,221065,53306,13754,9925,2308,102269
252016,12327,7707,111570,4.844818,6857,103290,81571,10782,8036,9915,126837
253802,5693,12476,149774,23.096976,2471,240971,87526,16606,3299,7142,168854
254106,2752,14503,154333,4.069272,3220,266433,26533,8025,4417,5757,246264
255717,28808,160,92364,15.743395,6606,261881,3304,6742,4887,1088,199658
256561,21303,3779,255892,10.184313,235,66886,46322,19910,9550,8115,130485
257047,17999,19624,280113,5.414095,7352,59692,62711,164,4243,8051,269137
258360,25421,2681,136762,16.451018,4797,257042,84900,10586,9095,3487,76727
259051,6273,7003,196578,23.656836,4180,60817,8225,2681,8247,5891,80643
260421,2547,9456,286899,22.594441,5923,78371,92842,13118,2459,9258,20612
261397,28072,18898,98841,7.491297,9494,134038,5071,15696,6537,6024,117938
262946,20471,1684,140245,13.057726,1696,123107,19117,14942,466,4048,122947
263467,15592,7078,117716,18.746692,6111,221796,14287,9239,9788,909,108272
264125,16593,17481,130452,2.123105,6197,20498,89384,7583,1826,9156,251651
265682,1928,4940,39403,16.66594,5260,252335,93644,12999,8676,8027,182241
266092,12918,18067,276390,8.995585,9383,11259,71323,3022,1267,9748,226142
267893,18295,5940,157298,9.278435,9064,70344,52555,2096,4731,9,14854
268331,29565,13051,245256,15.714274,7292,223176,3791,9909,990,6875,267768
269137,29103,15978,107909,7.059297,4473,141913,60928,1503,8530,7423,39525
270913,16079,10814,206335,11.988821,3159,225705,67512,10169,3721,778,187098
271293,22173,691,177062,17.148818,9400,270662,78469,11832,2468,5705,194932
272267,28445,1656,139774,18.404245,3757,45342,75762,6610,4668,7025,104144
273433,10738,17338,105874,12.748301,5774,212886,21990,19630,244,4550,55943
274378,4556,17878,63916,2.9933,7756,122186,32275,2207,6410,6423,171849
275918,25768,19430,70156,18.867683,3243,15107,83318,7317,4479,9645,213053
276597,22693,15087,31027,12.144659,733,287642,18369,4100,4309,7348,413
277520,13408,2653,205237,7.272813,9738,175048,96082,19497,3373,7695,128044
278468,19112,16146,104495,8.681046,2340,111900,87347,2657,1590,1470,225261
279121,14809,19742,161368,1.439428,9696,136619,44984,8473,2965,5122,161805
280245,24439,7648,277819,11.660612,5621,177400,22342,6239,7554,9937,32771
281786,10601,1316,273179,20.153381,8011,211727,72937,14580,899,7092,115519
282026,11925,9381,257958,8.847353,4629,27480,81973,6959,8069,3727,289027
283238,23746,11259,144890,1.545818,9565,233428,73483,2743,7661,8204,224658
284650,24617,8323,210877,12.728854,6876,165776,60186,17918,1776,6725,24236
285041,1550,5454,156206,23.174523,5360,248005,14803,9321,4584,5288,129495
286801,2638,19050,50356,17.875495,6467,251112,87787,51,2901,716,211571
287034,8533,5071,134117,2.718477,4300,184826,40797,19324,7834,3885,201076
288964,14480,954,242382,11.597748,5291,121447,45518,14131,9838,3207,27571
289802,9094,7591,179035,1.008504,9619,94522,49487,10440,4061,4838,286851
290173,18772,10008,190716,18.374016,7472,245212,62992,14415,7970,2379,234369
291226,27801,3004,19982,20.359382,8672,75518,70077,17715,361,2661,255421
292695,13651,12780,198429,7.660654,9935,208941,51467,19011,9817,2960,221369
293414,14012,9108,16760,11.561298,4812,206229,13693,13448,5973,628,54084
294087,8958,12719,48517,14.744954,338,249904,20267,18816,2350,2050,263167
295553,26990,19813,203324,3.12103,9206,152617,69840,14757,7827,5556,249145
296287,19457,3184,287886,16.791066,5588,195353,33985,6299,8484,8599,162797
297467,15682,4123,266793,19.725717,6505,9765,52056,14469,5649,8390,155191
298658,27214,11543,182312,3.324646,3687,156803,95449,9507,9603,4116,82628
299933,21768,16718,56796,1.254618,1614,108148,98183,19254,5099,4166,203756
