@relation InitialSetByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute performance numeric

@data
89103,10205,553,298266,16.527218,2266,275366,87934,3989,9796,9527,241915,2753.9
92176,17362,955,159201,2.391376,8046,109871,824,8483,911,9723,80543,2201.8
95107,3010,2699,142170,7.974141,7022,60630,40996,18333,6602,4130,87979,2032.5
96415,21984,3034,274055,5.521622,6932,63997,26029,16600,1131,5504,130092,2786.1
99456,14600,15114,135306,8.984492,3641,143602,36323,8103,7637,725,18654,3012.6
104046,26922,9635,57675,23.541802,182,204454,79627,14137,8613,4699,31565,2291.6
106509,19723,14625,77226,11.594473,439,137950,97792,15799,3022,4805,166827,2989.1
110664,22319,11452,186487,13.249282,508,188759,10138,18443,8051,851,147103,2954.2
111488,4739,1940,204175,13.537872,6517,23940,2476,13721,8140,1538,64682,2460.6
116302,11846,4603,123098,9.511837,791,144910,75601,14800,6411,3512,24261,2721.9
119368,23126,17244,28688,22.184227,2104,219320,40044,11076,8974,8729,295270,2583
120670,10140,789,54115,2.979997,8601,224552,43287,15030,7025,3252,76379,2523.5
124551,24576,8338,286073,22.492849,7413,265007,82860,16799,5249,80,45418,2466.2
126559,29358,7789,194178,12.673686,8122,244875,91833,5726,27,9167,275217,1979
130531,18715,16868,242332,10.476477,7544,286808,23491,5488,4777,118,189744,1957.2
133507,24186,13400,23595,8.190717,9682,167754,50246,10668,8892,1201,195502,2591.3
136499,27915,18499,165816,23.525869,1246,135122,35733,1154,1632,7875,236355,1857.4
140531,23666,18149,156782,3.802179,5552,159107,80527,14430,9562,7531,98836,2803.7
141617,14234,10873,132674,14.134109,1924,263671,65822,1500,5110,1726,4506,4307.7
144543,26628,7177,239417,2.757234,9573,123350,29057,2043,6775,9687,237132,2524.4
149393,9648,15673,25885,20.126924,4668,129780,100883,3127,9636,8613,162292,2643.1
151747,17638,8736,198994,20.567396,1339,172320,85029,8984,1931,5406,203506,2781
155382,14987,18783,131439,18.05279,9207,101321,27877,17480,9327,8826,73160,2594
157122,12197,9800,213195,7.847802,815,8457,94447,16308,6960,6329,180293,2100
159158,27697,5733,202946,21.514136,5644,178590,31570,14229,5337,1119,229787,2537
164821,15451,16519,212265,21.890528,4497,231943,21030,2861,6376,1912,51626,2496.9
167274,6971,14506,17753,4.178414,8318,148344,78033,10203,4525,5167,297654,2135.1
170050,6108,5119,293301,2.372493,1628,78693,45851,4075,232,6894,133745,2885.6
172661,22520,1046,65334,18.925333,2593,154756,68608,17866,2631,6104,36319,2625.6
176788,5752,8086,233153,14.997977,2629,54149,7141,839,5911,8935,253960,2655.9
177671,11100,19395,265542,23.984053,8971,92788,50023,13368,747,2693,17241,1882.4
182398,22922,13136,49336,13.153301,5814,3541,96885,393,7117,2150,260954,3000.2
184731,20201,18922,14995,13.721612,9181,212883,81596,9237,5521,1826,29664,2474.2
186993,13285,14299,235150,7.248708,2388,71454,66714,6257,2449,5768,60838,2272.9
190301,29548,12268,67652,19.331393,7195,270528,38629,9657,3935,4543,209894,2714.8
193108,8,9519,271934,4.739979,1756,119042,30673,15254,1777,2305,22146,1974.3
197607,15810,3763,180401,6.797902,3371,247968,65535,10512,5037,7328,92992,2927.2
198038,20036,17021,73102,16.069833,96,128705,56466,5126,6152,9030,100690,2366.2
201345,18172,10655,150175,19.041665,2415,228312,63901,17212,3317,2011,263705,2540.7
205906,25222,9318,6427,4.606631,9354,6550,9165,3294,8210,4272,142950,2580.9
209321,18953,2392,178928,17.035515,6721,169407,74357,9400,2165,7696,289175,2730.9
212295,6840,18216,37716,22.805447,9987,55171,58974,2389,1868,576,188427,2668
213729,21358,11397,85502,3.58107,1839,83456,86478,4255,3549,4488,152731,2668.8
217034,28605,10,117823,15.34403,9753,289354,33591,11783,2707,2723,198136,2718.3
220521,8485,16087,109195,4.251688,5055,106483,72139,15581,6098,285,84810,2556.7
222465,27396,19901,32660,14.343696,4315,63088,53736,10842,9997,4774,170158,2353.1
227091,12557,17678,176578,1.935689,4905,74076,22252,17716,9879,6963,2814,2750.2
229273,2601,9150,122644,22.852697,8724,45077,67681,15848,412,7278,10938,1313.8
231212,25117,19002,209868,17.151122,7260,152136,46576,6525,7500,3170,225452,2439.4
236709,1070,10079,114749,12.127096,4083,20333,25476,19804,9033,2989,193743,2888.5
237940,1635,11010,101886,9.780894,3426,203009,76377,9819,2984,8508,156863,2290.1
242794,15966,17947,259092,17.621703,6423,189727,24426,13972,5740,5864,135468,2628.7
243949,25883,8471,83438,17.844508,7974,124932,47310,6789,8597,6761,12575,2942.3
246829,685,6925,19726,6.091088,4131,86415,15604,2645,1042,926,103697,2464.6
251492,8110,5841,223629,20.470246,9090,240029,48536,6864,4615,615,283102,2731
254302,4135,4453,88066,14.028231,8505,160283,73597,17116,8796,1330,43724,2743.3
256953,23803,12513,105450,20.839046,391,292546,95348,16091,1370,9849,93733,2412.3
258011,10694,12753,279127,3.175838,9452,276420,62046,9057,1413,7075,139922,2319.6
261694,21012,14123,10645,12.788887,6672,12103,20466,18162,6514,1429,281788,2938.8
265999,21658,6662,94503,9.122864,1123,96509,1790,5934,9252,9320,264679,2012.4
269658,20902,10428,262708,8.645961,5459,253662,61360,18865,4984,5010,267445,2716
270623,12669,5238,45741,14.57628,6069,216192,32055,4799,4148,5323,154785,2301.5
275928,5223,13714,102519,16.796423,8497,183493,37259,7394,853,8126,108878,2744.1
278847,7988,6238,245575,6.595629,7769,241187,44212,16994,3830,2200,178973,2647.3
281204,2037,2977,216940,11.210006,2995,279388,5928,7795,516,9241,287295,1720.7
284579,8841,12804,284154,15.1954,4833,163643,56100,4976,7822,6271,257034,2203.1
286905,9041,4114,288426,22.124298,5704,67789,27120,12687,7732,2480,6179,3093.2
289650,24655,16350,229219,10.357773,3118,236331,34783,12513,7334,6454,68678,2686.1
292350,2864,14863,268429,18.535957,5994,227039,3288,2424,621,4959,114741,2187.3
294752,3371,15292,183891,23.30576,2885,104382,92877,1982,5881,3804,145060,2938.8
298231,26328,7857,155178,1.392666,3974,295198,98327,18737,4800,5989,245451,2490.9
