@relation InitialSetByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute performance numeric

@data
141684,13814,14992,102519,3.299352,2412,108561,18300,17095,6961,4056,86797,2667.1
142333,3008,12576,269800,1.641556,589,209607,61712,2724,4125,6926,238324,1604.6
143205,8401,16106,169103,10.833312,5016,198851,54595,7409,9462,5052,172917,2719.3
143488,7250,15967,22966,15.316337,7155,128209,13725,506,5487,5500,193517,1644.6
144197,4149,312,63632,20.247152,2627,33662,2051,13296,49,3051,161261,2273.9
145080,29731,8011,60139,12.8884,1707,246599,81202,13736,9649,3746,261916,2657.2
145333,21944,3781,46046,9.5107,919,79837,81758,2338,5695,5584,214595,2735.7
146034,269,4386,242498,7.397745,1368,59141,40506,3020,9445,3923,188891,3169.4
146482,10378,14235,258319,9.867841,846,85102,90023,7480,9520,8637,74443,2399
147354,16902,11125,299915,12.920131,5460,132729,21613,1752,9730,8198,136541,2580.5
148057,20695,16582,98253,6.063363,206,200865,4181,9314,4370,2891,299926,1926.6
148720,16645,776,291303,19.78725,7420,293716,11395,3137,7420,2745,202367,2659.1
148907,23543,2102,250296,6.913201,9598,219178,36335,6913,6558,6788,230034,2535.3
149764,20369,10079,206120,22.826492,5034,295412,90476,78,1988,7849,222387,2797.3
150305,15671,222,116819,19.223853,8555,102352,42556,17482,8800,6342,53752,2433.5
150940,13166,6325,88993,2.772815,3255,242182,85003,15380,5525,7328,86152,2727.7
151712,5648,11420,253377,11.45021,9895,269246,40602,10910,1379,1521,204295,2342.2
152047,7528,17147,199409,12.590726,2323,201481,49398,983,5819,71,243426,2694.2
152970,28547,4232,2300,16.374562,5500,271634,98429,3927,637,2107,39387,2817.3
153233,15323,4309,8155,12.017884,59,136056,72908,14913,232,5796,130088,2115.6
153704,22903,7342,272836,16.285047,8499,128539,3378,9798,8002,4173,89890,2681.1
154436,25056,14124,9740,14.757326,2298,275669,100934,16867,4105,8355,162117,2706.5
155284,6638,18937,211102,3.161286,9309,64510,30230,8619,499,3682,176669,2506.6
155988,16239,6545,142784,1.672831,1396,268185,87181,17277,2337,4213,278922,2633.4
156435,12821,5208,118552,8.110477,7580,257143,4792,7569,854,1570,269672,2427.8
156638,24876,19172,282319,21.37743,512,1427,94562,1923,2617,6039,226178,2953
157729,17833,8641,276917,16.024693,1324,283903,89337,2531,5886,4026,58406,2138.4
158022,28833,18199,217873,23.086559,7791,166244,54387,11725,8648,9294,256711,2671.4
158570,25448,15353,203850,13.055647,1038,20386,48175,2291,3090,6006,220113,2602.4
159531,5404,5158,157774,12.842876,6158,172132,77977,15346,8086,2691,47331,2789.9
159785,17280,8786,22095,19.51269,5947,223038,60752,2903,965,9731,130506,2909
160715,8819,14832,67879,10.939245,1215,273189,57129,6350,563,4530,264423,1929.7
161144,29080,14356,125536,10.297276,7850,94264,76001,12617,1902,1313,290871,2795.3
161464,3990,907,258830,13.47589,2318,116089,65958,11520,523,2378,84308,2867.8
162418,11801,8173,254655,19.678686,6815,247194,8244,11584,9481,5773,46110,2517.5
163006,1788,15113,11756,9.797237,3176,245238,32166,277,8870,9237,185877,2121
163599,19561,11458,57623,22.599239,4475,118914,53426,18849,1526,1614,146406,2544.2
163873,16802,10019,144022,17.497436,6476,222468,23442,19549,9636,1357,15228,3020.7
164795,7794,4891,95264,13.674758,8018,101750,40126,5294,1078,9387,203013,1920.7
165555,8673,19127,276450,10.491094,6711,123363,3814,18572,3999,3949,281285,2626.7
165913,20020,5946,173450,19.34556,6494,56150,75714,5572,8304,7533,196933,2407.9
166711,22687,2384,168308,12.729204,4300,77902,88524,8846,7032,2097,282243,2592.2
166952,24833,10960,81420,3.860706,5905,272920,11193,18351,1489,6224,171881,2638.6
167558,23407,15079,165175,21.433786,263,93338,7953,17744,8148,6329,272722,2703.1
168117,11301,352,96297,21.295793,6427,183301,49294,11972,4451,1507,42424,2458.1
168984,12225,8712,60716,6.648256,7117,286441,57967,17977,4836,2145,165555,2520.5
169680,17672,17065,113013,5.612018,4015,91380,4935,1889,297,8920,3559,2221.3
170335,11851,6070,90741,15.596022,8040,269817,24575,5140,2494,6623,183013,2633.3
170489,39,17732,235790,5.505807,9072,175757,62908,1004,9945,3111,54150,3906.8
171103,6829,8615,219895,10.289313,6112,250581,62091,3583,8553,2661,180487,2689.7
171961,9083,5075,121709,2.021726,9095,96543,16272,8776,2596,2057,164767,2668.3
172372,19106,17901,233659,3.401752,1098,3046,68080,4237,8027,1778,20127,2608.1
172950,27307,4564,183999,19.284969,2040,202723,33592,362,1848,8654,62262,2690.9
173947,25854,16951,229494,4.489691,1857,79970,74548,18302,8849,4419,103942,2720.5
174038,4501,17764,66684,23.76916,6501,79290,64555,14380,7610,659,23903,1875.7
174726,25100,13282,53519,12.468794,4631,11236,11483,12025,2792,9974,13205,2142.1
175732,1740,10398,34730,1.030724,1060,211680,93745,9254,7194,5358,57725,2150.2
176136,3554,12309,56054,10.445893,5548,259377,26561,19329,3201,7771,240315,1480.4
176816,18624,14105,89801,3.934608,8750,285628,42648,3768,1157,1806,126419,2532.9
177294,20826,4982,80718,23.437624,1880,97143,53742,3431,2999,7753,34897,2613.2
178042,15481,19691,194108,21.653574,9716,9139,6242,4788,5240,5871,148286,2496.8
178218,19147,10160,275714,3.646839,13,197484,25814,3103,6412,8964,50778,2633.1
179108,10185,13090,178925,14.430865,1953,12666,100313,11330,5840,5477,134913,2769.4
179442,19927,11617,233080,12.193313,3302,159735,73738,7205,3895,5129,262316,2600.4
180410,8394,19841,294162,15.069455,1733,206744,22690,13398,4024,269,56188,2576.7
180866,14430,10464,210452,11.100752,5102,283515,16753,17303,6846,9719,5235,1991.2
181412,25503,1746,287689,22.632687,3620,27503,50148,17059,6644,4590,40994,2861
182294,24606,13477,223822,2.501603,5197,192093,51928,4529,5907,7477,119516,2530.9
182623,18856,8753,269084,17.418514,5934,77259,44948,4317,901,8706,11325,2658.9
183388,12295,3957,215319,2.718686,1198,144446,35001,18189,4428,1758,122039,2944.1
183925,3199,6199,147596,18.997139,8641,299201,65384,4689,5655,713,213448,2949.1
184589,13935,15215,292404,22.546143,9643,74899,20288,2443,3421,9995,196780,2942.7
185344,17808,2567,151704,7.131282,3134,69027,75362,8659,6148,5731,140948,2717.1
185847,27823,636,9214,22.755714,8919,48273,84229,14429,5277,177,127786,2166
186298,17255,11516,184567,16.827848,8848,107693,46558,10194,2247,2836,1002,3062
186790,19513,19780,157936,15.851866,6239,209961,97096,13155,9284,3471,142033,2616.6
187325,5040,13364,197836,2.975249,5994,270523,56728,18784,9045,2397,27201,2614.6
187894,5262,10772,224857,13.196748,2486,251625,39845,16319,131,5608,278068,2687.1
188823,26602,1973,249830,14.090142,9606,192678,32011,19007,2454,3888,109371,2529.5
189366,19460,9177,204058,4.743519,9879,267149,43038,11409,6873,8726,265269,2621.4
189898,9794,6277,297837,8.680833,8316,37463,101089,18391,4929,4502,166811,2660.4
190615,1843,7855,297500,19.662022,4506,167353,70326,13820,5758,9664,294299,2661.2
191159,6725,6646,291659,23.192106,4724,58014,99752,6596,9746,9614,159105,2846
191523,24519,12140,166390,16.048338,7519,184439,48623,17536,3486,1832,273701,2605.3
192256,16347,7119,7646,14.48175,2363,82834,19778,7811,7685,8269,97016,2729
192682,10267,2357,189642,11.563213,34,100803,76515,821,767,9273,182508,2730.2
