@relation InitialSetByLHS

@attribute sqlmyd_Ksort_buffer_size numeric
@attribute sqlmyd_Kinnodb_buffer_pool_size numeric
@attribute sqlmydmax_connections numeric
@attribute sqlmyd_Kquery_cache_size numeric
@attribute sqlmyd_Kread_buffer_size numeric
@attribute sqlmyd_Kmyisam_sort_buffer_size numeric
@attribute sqlmydtable_open_cache numeric
@attribute sqlmyd_Kmax_allowed_packet numeric
@attribute sqlmyd_Typequery_cache_type numeric
@attribute sqlmyd_Kkey_buffer_size numeric
@attribute sqlmydthread_cache_size numeric
@attribute performance numeric

@data
498386,210854,24983,647166,581795,117149,323498,183998,1.177689,907067,5776,290.52
505575,441175,57796,872623,127212,4627,404751,761706,0.289219,924080,6901,300.23
514121,525552,61036,258906,106843,708306,155124,17946,0.346724,78007,3684,301.77
526951,343398,15750,578635,155187,625817,438425,704041,0.015197,211000,2410,280.56
537429,273189,54414,694722,625290,495023,230559,257393,0.36412,1032471,3942,288.07
547106,731388,96478,882431,367323,299370,503123,151704,0.036766,792337,10552,334.73
558162,643597,20407,831897,39648,843054,6045,351761,1.965891,640785,2883,305.01
571200,969308,39763,26254,478985,689098,282081,81301,0.189988,530514,15800,365.85
585929,562143,77157,287161,335181,258087,515788,159903,1.81295,160800,8184,298.03
592802,219330,38198,219338,407778,761613,362686,373319,1.366715,953102,8896,273.51
598077,940588,4692,43521,642347,94714,345665,737196,0.861419,743155,15959,362.26
610546,885033,86253,283783,50962,556785,109485,226911,1.105695,289505,15684,343.93
624007,612145,98260,519789,410124,796582,448871,405001,1.720455,978170,10295,302.27
634686,33443,46546,555572,255409,1037172,78457,64382,0.506658,222990,13802,144.22
648441,673804,34239,182040,554604,934137,418728,967247,0.80893,547989,6460,329.05
650641,903938,92933,610222,180602,337565,445514,930722,1.893225,943239,144,337.12
661249,228445,23403,765356,19222,440629,468939,940956,1.877538,132202,4616,290.62
676240,187824,44592,690663,524961,175510,492149,198385,1.510321,514031,5207,285.27
688578,860625,29834,330613,495818,428192,95361,1018573,0.247138,1041865,5726,344.46
697083,424877,78100,315001,379342,216373,24708,284573,0.066204,309443,1625,301.78
711123,825967,17656,208852,311045,1044987,188405,602043,0.329595,29278,11596,353.88
713605,782034,41908,901770,629473,716322,390915,244337,1.828373,154825,15239,322.5
731656,811969,79206,474914,520630,372297,166520,23471,0.668686,347215,15504,353.3
742295,159731,72473,600314,360260,192325,158745,907331,1.191572,451346,13523,279.12
750084,716838,36836,471927,932695,522061,188942,714097,0.137191,237882,10701,332.07
754985,74947,67323,338651,169102,229269,338416,616905,0.859392,654243,11170,245.63
774340,1033228,1511,196296,761940,460836,412863,36684,1.556241,48871,329,367.72
780422,395076,89990,512681,742716,385511,179113,981161,0.217939,475762,3284,268.93
794975,571793,56684,92804,145026,904562,58136,58221,1.245124,70668,15059,316.72
805177,713983,31028,242996,536513,53735,151341,488759,0.389685,689144,9874,328.75
817139,758692,43062,988293,459717,738220,521766,548626,1.787432,471042,3503,320.48
823404,630345,52420,403268,200783,613445,38925,619734,0.921673,636331,13305,318.81
838736,454310,73748,820058,271442,548128,14645,851360,0.683036,855281,2080,279.61
842321,501994,14765,747332,820546,410408,197649,801875,1.677995,566681,11423,295.76
856719,253896,49017,847265,324761,746615,271548,564021,1.847462,85657,12203,284.03
866788,110652,70655,656376,54169,528743,427903,140186,0.400117,1006612,10456,264.11
873970,987954,5270,112353,235617,732737,113764,592817,1.060662,768029,851,347
887578,802745,74952,670537,559622,248264,261692,116377,1.27775,806748,6215,339.49
900007,899697,82292,123216,916858,587373,216380,200416,0.177844,832731,5414,345.06
907300,135579,69003,139146,462594,674204,170024,294243,0.050217,7231,1924,282.71
918324,237102,87442,1010123,1010143,584658,400874,379370,1.385131,366371,764,290.61
927555,51172,71647,357456,892415,912823,453415,219373,1.415571,826671,13168,187.34
933416,388764,13886,981632,98096,987970,212495,1034835,0.653723,513415,3046,274.91
952688,1015227,84720,321573,218886,1021020,2117,363046,1.439038,332770,1046,348.44
956925,548418,48281,1020696,576018,86592,90125,308469,1.35642,970471,13735,288.06
973110,376920,10302,165083,983903,901505,134544,651275,1.320141,537350,4229,295.38
975608,703961,42800,999723,295092,825036,464874,816265,0.520626,843323,4954,326.44
991252,486170,45422,1028900,72016,269107,481748,964009,1.700256,593861,9394,291.37
1003791,839045,64825,744499,972558,400765,292865,5780,1.770133,33681,7525,356.35
1007915,540095,248,355180,161108,208480,376289,1039401,0.720353,368427,6739,306.56
1020561,684498,88051,713373,731051,149025,294099,670626,0.834225,168014,2256,319
1030432,596074,93877,734113,770846,928702,512099,171852,0.477701,745959,3254,302.21
1039137,772078,97722,1045912,23859,231504,252571,843626,0.63421,917527,12475,330.75
